排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio,score_pct,score_up,hot_score
43,生物制品,BK1044,986.53,13.61,1.4,946263440000,2.18,44,12,甘李药业,10.0,56,0.786,0.9153225806451613,0.9112903225806451,0.9133064516129032
49,动物保健Ⅱ,BK1254,4413.93,55.53,1.27,58139054000,1.96,10,2,大禹生物,7.1,12,0.833,0.9032258064516129,0.9203629032258065,0.9117943548387097
30,其他生物制品,BK1596,7904.53,132.69,1.71,660853440000,3.16,27,10,甘李药业,10.0,37,0.73,0.9415322580645161,0.8810483870967742,0.9112903225806452
51,动物保健Ⅲ,BK1501,4413.2,54.8,1.26,58115265000,1.96,10,2,大禹生物,7.1,12,0.833,0.9002016129032258,0.9203629032258065,0.9102822580645161
48,复合肥,BK1433,3030.19,40.29,1.35,73864159000,2.12,8,2,ST司特,4.08,10,0.8,0.90625,0.9133064516129032,0.9097782258064516
12,摩托车,BK1521,3316.37,81.23,2.51,155138281000,1.07,6,3,涛涛车业,10.6,9,0.667,0.9778225806451613,0.8346774193548387,0.90625
35,乳品,BK1585,1970.62,27.76,1.43,235402900000,1.48,11,4,皇氏集团,10.1,15,0.733,0.9274193548387096,0.8830645161290323,0.905241935483871
44,棉纺,BK1349,2468.22,33.92,1.39,44735472000,1.92,6,2,华孚时尚,9.97,8,0.75,0.9112903225806451,0.8991935483870968,0.905241935483871
60,焦炭Ⅱ,BK1249,699.68,7.03,1.01,49670142000,1.05,6,1,山西焦化,3.01,7,0.857,0.8810483870967742,0.9294354838709677,0.905241935483871
87,视频媒体,BK1296,718.64,4.75,0.67,28304005000,1.36,1,0,芒果超媒,0.67,1,1.0,0.8276209677419355,0.9798387096774194,0.9037298387096775
62,焦炭Ⅲ,BK1492,699.59,6.94,1.0,49685695000,1.05,6,1,山西焦化,3.01,7,0.857,0.8780241935483871,0.9294354838709677,0.9037298387096775
72,线下药店,BK1606,3308.16,27.86,0.85,75276121000,1.25,7,1,老百姓,1.74,8,0.875,0.8568548387096774,0.938508064516129,0.8976814516129032
24,原材料供应链服务,BK1490,2732.34,52.62,1.96,106346454000,1.24,8,4,厦门象屿,4.6,12,0.667,0.9536290322580645,0.8346774193548387,0.8941532258064516
25,钛白粉,BK1421,1857.58,35.51,1.95,70001755000,2.56,4,2,金浦钛业,10.16,6,0.667,0.9516129032258065,0.8346774193548387,0.8931451612903226
50,化学制剂,BK1594,3884.14,48.42,1.26,2148021808000,3.72,83,30,罗欣药业,9.98,113,0.735,0.9002016129032258,0.8860887096774194,0.8931451612903225
58,饲料,BK1258,3201.25,32.81,1.04,162423821000,2.37,12,4,海大集团,4.25,16,0.75,0.8850806451612904,0.8991935483870968,0.8921370967741935
68,港口,BK1481,1496.28,13.54,0.91,482743216000,0.37,13,3,上港集团,2.88,16,0.812,0.8659274193548387,0.9153225806451613,0.890625
