排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
56,饮料乳品,BK1282,2044.21,21.47,1.06,418348320000,1.32,16,7,皇氏集团,10.1,23,0.696
57,医药流通,BK1607,1915.53,19.97,1.05,219947511000,1.67,17,7,国药一致,3.39,24,0.708
58,饲料,BK1258,3201.25,32.81,1.04,162423821000,2.37,12,4,海大集团,4.25,16,0.75
59,租赁,BK1365,2820.39,28.87,1.03,73349108000,1.18,2,1,渤海租赁,3.63,3,0.667
60,焦炭Ⅱ,BK1249,699.68,7.03,1.01,49670142000,1.05,6,1,山西焦化,3.01,7,0.857
61,医药商业,BK1042,1032.25,10.25,1.0,295223632000,1.6,24,8,国药一致,3.39,32,0.75
62,焦炭Ⅲ,BK1492,699.59,6.94,1.0,49685695000,1.05,6,1,山西焦化,3.01,7,0.857
63,航运,BK1482,1491.2,14.15,0.96,647975872000,1.35,12,7,凤凰航运,4.84,19,0.632
64,个护小家电,BK1458,755.92,7.06,0.94,18734404000,1.19,2,2,倍益康,6.93,4,0.5
65,航运港口,BK0450,11283.09,105.06,0.94,1130744240000,0.72,25,10,凤凰航运,4.84,35,0.714
66,其他酒类,BK1578,1447.63,13.45,0.94,56466976000,1.23,7,3,*ST尼雅,8.49,10,0.7
67,机场,BK1480,1742.56,15.78,0.91,128889506000,0.59,5,0,深圳机场,1.73,5,1.0
68,港口,BK1481,1496.28,13.54,0.91,482743216000,0.37,13,3,上港集团,2.88,16,0.812
69,休闲食品,BK1281,2047.67,18.01,0.89,158937720000,1.27,14,9,万辰集团,5.54,23,0.609
70,航空运输,BK1479,1388.4,12.21,0.89,456828048000,0.64,7,2,春秋航空,2.53,9,0.778
71,食品加工,BK1280,4056.26,35.36,0.88,224506214000,1.83,18,9,ST西王,5.47,27,0.667
72,线下药店,BK1606,3308.16,27.86,0.85,75276121000,1.25,7,1,老百姓,1.74,8,0.875
73,航空机场,BK0420,4183.58,34.05,0.82,584914784000,0.63,11,2,春秋航空,2.55,13,0.846
74,管材,BK1466,1883.28,14.98,0.8,34686991000,1.64,4,2,青龙管业,6.25,6,0.667
75,粮食种植,BK1515,843.75,6.66,0.8,31201919000,0.97,1,1,北大荒,1.85,2,0.5
